Account Id,Region,Resource Id,Monthly Usage Hours,Monthly Cost,Annual Saving
890769921003,eu-west-1,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-prod-alb/42b588de78340ae6,24.002399999999994,0.6,7
417754270324,,arn:aws:elasticloadbalancing:us-east-1:417754270324:loadbalancer/app/app-lb/e68793179fbd4e95,171.08558441193696,0.35,4
417754270324,,arn:aws:elasticloadbalancing:eu-central-1:417754270324:loadbalancer/app/xaia-ai-dev/673ddb282fde3f59,96.19189756011122,0.29,4
417754270324,,arn:aws:elasticloadbalancing:eu-central-1:417754270324:loadbalancer/app/xaia-ai-prod/0ae67d33954f2b66,103.30437248350398,0.26,3
417754270324,,arn:aws:elasticloadbalancing:us-east-1:417754270324:loadbalancer/app/prod-xmod-lb/2e2739ddd7df50e0,75.7748644925004,0.22,3
061670163066,,arn:aws:elasticloadbalancing:eu-west-3:061670163066:loadbalancer/app/tetris-alb/cf0a8732fde52184,132.0905847904083,0.11,1
417754270324,,arn:aws:elasticloadbalancing:us-east-1:417754270324:loadbalancer/app/dev-xmod-lb/aefe2c5d23037f81,97.57286412729545,0.06,1
842747873158,,arn:aws:elasticloadbalancing:eu-central-1:842747873158:loadbalancer/app/Bedroc-Proxy-HnegKHBZTaGm/739f49e5a8ff843a,7.959472957099988,0.01,0
417754270324,,arn:aws:elasticloadbalancing:eu-west-1:417754270324:loadbalancer/app/ak-alb-poc-llm/ece8e52a1e4f7ca6,0.05636120019999988,0.0,0
183631325163,,arn:aws:elasticloadbalancing:eu-west-1:183631325163:loadbalancer/app/geot-sbx-public-alb/ad4ea26b064f0645,1.2764933373000007,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-dev-alb/72636ffdde73cfef,0.0009234937999999974,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-3:890769921003:loadbalancer/net/ALB-OK/782c9ddd7907ccdd,0.04297478789999998,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-3:890769921003:loadbalancer/net/ALB-OK-lkowalczuk/aeed836e04a20553,0.19127303160000012,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-3:890769921003:loadbalancer/app/To-RDS-lkowalczuk/b201f1bfdd4f3dab,0.011603225100000001,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-3:890769921003:loadbalancer/net/network-to-ecs-RDS-Lkow/1d63426787cd28d1,0.0200720859,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-default-alb/f44a7e76d9732433,0.0022219626000000003,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-default-alb/9ef5412f295ef70e,0.0002064509999999999,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-3:890769921003:loadbalancer/app/ALB-lkowalczuk/85d3065695150ff6,0.5803427263000009,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-default-alb/4387423951224d72,0.005425378599999999,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-default-alb/fb38e622e62c599e,0.0004231317999999998,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-dev-alb/f95966ff70c9d203,0.0004627442999999995,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-default-alb/ce89072739908e70,0.0016210180000000001,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-default-alb/361d1755296a9ff9,0.026583230100000015,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-default-alb/1ea1ae7fb78ffb7f,0.06298370139999998,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-3:890769921003:loadbalancer/app/ALB-lkowalczuk/216e4f9c16f11408,0.8680825861000028,0.0,0
842747873158,,arn:aws:elasticloadbalancing:eu-central-1:842747873158:loadbalancer/app/breeze-ai-alb/56fa3f99addef871,8.575968815599992,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-default-alb/f842b4330fc87daf,0.0008249052,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-default-alb/da4ab82135b98a8c,0.000294931,0.0,0
417754270324,,arn:aws:elasticloadbalancing:us-east-1:417754270324:loadbalancer/app/dev-xmod-lb/3434cca696015140,0.5702088967999999,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-default-alb/4392b5a68291e16c,0.0021530299999999994,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-prod-alb/42b588de78340ae6,0.0003413784,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-default-alb/ddcacd4f7dea05cc,0.0007685207999999999,0.0,0
890769921003,,arn:aws:elasticloadbalancing:eu-west-1:890769921003:loadbalancer/app/krawski-default-alb/4e9e1a786ad88323,0.0034662988000000025,0.0,0
